113學年度大學分發入學    各系組最低錄取標準及錄取人數一覽表,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0064,國立臺灣大學,工商管理學系企業管理組B組,數Ax1.00 英x1.00 地x1.00 歷x1.00 公x1.00,16,262.00,292.95
0065,國立臺灣大學,工商管理學系科技管理組,數甲x1.00 英x1.00 物x1.00 化x1.00 數Ax1.00,20,241.00,-----
0066,國立臺灣大學,會計學系A組,數甲x1.50 英x1.50 國x1.00,13,210.50,-----
0067,國立臺灣大學,會計學系B組,英x1.50 國x1.25 數Ax1.25 公x1.00 地x1.00,45,309.25,398.55
0070,國立臺灣大學,財務金融學系A組,數甲x2.00 英x1.50 國x1.00,24,240.00,-----
0071,國立臺灣大學,財務金融學系B組,英x1.50 公x1.00 地x1.00 歷x1.00,26,254.00,328.55
0072,國立臺灣大學,國際企業學系A組,英x2.00 數甲x1.00 公x1.00,8,212.00,-----
0073,國立臺灣大學,國際企業學系B組,英x2.00 數Ax1.00 地x1.00 歷x1.00 公x1.00,27,320.00,338.00
0074,國立臺灣大學,資訊管理學系,數甲x1.50 英x1.00 物x1.00 化x1.00,12,244.00,-----
0075,國立臺灣大學,公共衛生學系A組,數甲x1.25 英x1.25 化x1.00 生x1.00 物x1.00,13,263.50,-----
0076,國立臺灣大學,公共衛生學系B組,數Ax1.25 英x1.25 公x1.25 國x1.00,7,235.00,248.40
0077,國立臺灣大學,電機工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00,47,229.00,264.60
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0100,國立臺灣大學,資訊工程學系,數甲x1.25 物x1.00 化x1.00 英x1.00,34,238.50,289.85
0101,國立臺灣大學,法律學系法學組,英x1.00 國x1.00 數Bx1.00 公x1.25 歷x1.00,32,285.00,-----
0102,國立臺灣大學,法律學系司法組,英x1.00 國x1.00 數Bx1.00 公x1.25 歷x1.00,26,288.25,-----
0103,國立臺灣大學,法律學系財經法學組,英x1.00 國x1.00 數Bx1.00 公x1.25 歷x1.00,25,292.00,310.90
0104,國立臺灣大學,生命科學系,生x1.00 英x1.00 化x1.00 數甲x1.00 物x1.00,13,243.00,-----
