,,114學年度大學分發入學,,各系組最低錄取標準及錄取人數一覽表,,
,,,,,,
,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
1,國立臺灣大學,中國文學系,國x1.50 英x1.25 歷x1.25 地x1.00,20,264,305.35
2,國立臺灣大學,外國語文學系,英x2.00 國x1.25 歷x1.00 地x1.00 數乙x1.00,43,325.75,-----
3,國立臺灣大學,歷史學系,歷x1.00 國x1.00 英x1.00 地x1.00 公x1.00,24,260,278.1
4,國立臺灣大學,哲學系,國x1.00 英x1.00 歷x1.00 公x1.00,23,199,-----
5,國立臺灣大學,人類學系,英x1.50 歷x1.00 國x1.00 地x1.00 公x1.00,22,285.5,288.1
6,國立臺灣大學,圖書資訊學系,國x1.25 英x1.25 數乙x1.00 公x1.00 歷x1.00,15,283.5,-----
7,國立臺灣大學,日本語文學系,英x1.50 國x1.50 歷x1.00 地x1.00 公x1.00,21,310,-----
10,國立臺灣大學,戲劇學系(男),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,9,278,-----
11,國立臺灣大學,戲劇學系(女),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,10,291.5,-----
12,國立臺灣大學,數學系,數Ax1.50 數甲x1.50 物x1.00 化x1.00 英x1.00,15,306.5,-----
13,國立臺灣大學,物理學系,物x1.50 數甲x1.50 英x1.00 化x1.00,15,280,-----
14,國立臺灣大學,化學系,化x1.00 英x1.00 數甲x1.00 物x1.00 國x1.00,32,254,-----
15,國立臺灣大學,地質科學系,數甲x1.00 英x1.00 化x1.00 物x1.00 國x1.00,12,236,-----
16,國立臺灣大學,心理學系,數甲x1.00 英x1.00 國x1.00 生x1.00 化x1.00,36,253,268.65
17,國立臺灣大學,地理環境資源學系A組,數甲x1.00 物x1.00 化x1.00,9,143,-----
20,國立臺灣大學,地理環境資源學系B組,地x1.25 公x1.00 數乙x1.00,8,181.5,-----
21,國立臺灣大學,大氣科學系,數甲x1.25 物x1.25 化x1.25 英x1.00 國x1.00,17,274.5,-----
22,國立臺灣大學,政治學系政治理論組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,31,292.25,312.25
23,國立臺灣大學,政治學系國際關係組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,22,301.75,323.4
24,國立臺灣大學,政治學系公共行政組,英x1.25 國x1.25 社x1.00 歷x1.00 地x1.00,31,293.25,313.05
25,國立臺灣大學,經濟學系A組,數甲x2.00 英x1.50 物x1.00,23,228,-----
26,國立臺灣大學,經濟學系B組,數乙x2.00 英x1.50 公x1.00 地x1.00 歷x1.00,8,360,-----
27,國立臺灣大學,社會學系,英x1.00 數Bx1.00 公x1.00 地x1.00 歷x1.00,23,254,265.95
30,國立臺灣大學,社會工作學系,英x1.25 國x1.25 數Bx1.00 公x1.00 歷x1.00,33,263.5,268.15
31,國立臺灣大學,醫學系(自費),生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,48,288,313.2
32,國立臺灣大學,醫學系(公費),生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,5,266,-----
33,國立臺灣大學,牙醫學系,生x1.00 化x1.00 數甲x1.00 物x1.00 英x1.00,17,285,332.1
34,國立臺灣大學,藥學系,數甲x1.00 物x1.00 化x2.00 生x2.00 英x1.00,17,373,-----
35,國立臺灣大學,醫學檢驗暨生物技術學系,化x1.00 生x1.00 英x1.00 數甲x1.00 國x1.00,16,255,-----
36,國立臺灣大學,護理學系,英x1.00 生x1.00 化x1.00 數甲x1.00 國x1.00,16,240,243
,,,,,,
,,,,,114學年度最低錄取標準-第1頁,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
37,國立臺灣大學,物理治療學系,生x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,17,257,-----
40,國立臺灣大學,職能治療學系,英x1.50 國x1.25 生x1.00 數甲x1.00,19,246,-----
41,國立臺灣大學,土木工程學系,數甲x1.00 物x1.00 英x1.00 國x1.00 化x1.00,45,243,256.5
42,國立臺灣大學,機械工程學系,物x1.00 數甲x1.00 化x1.00 英x1.00 國x1.00,44,259,-----
43,國立臺灣大學,化學工程學系,數甲x1.25 物x1.25 化x1.25 英x1.00,38,247.5,-----
44,國立臺灣大學,工程科學及海洋工程學系,數甲x2.00 物x2.00 英x1.00 化x1.00,14,312,-----
45,國立臺灣大學,材料科學與工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 數Ax1.00,16,268,-----
46,國立臺灣大學,醫學工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,15,256,259.2
47,國立臺灣大學,農藝學系,生x1.25 化x1.25 英x1.00 數Ax1.00 國x1.00,15,256.75,-----
50,國立臺灣大學,生物環境系統工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,19,242,-----
51,國立臺灣大學,農業化學系,化x1.50 生x1.50 英x1.00 數Ax1.00 物x1.00,14,296.5,-----
52,國立臺灣大學,森林環境暨資源學系,生x2.00 數甲x1.00 化x1.50 物x1.50,21,266,-----
53,國立臺灣大學,動物科學技術學系,生x1.00 化x1.00 英x1.00 數甲x1.00,17,192,-----
54,國立臺灣大學,農業經濟學系,數甲x2.00 英x2.00 自x1.00,18,241,-----
55,國立臺灣大學,園藝暨景觀學系,英x1.00 生x1.50 國x1.00 化x1.00 數Ax1.00,26,251.5,-----
56,國立臺灣大學,獸醫學系,英x1.00 生x1.00 化x1.00 國x1.00 數甲x1.00,27,262,-----
57,國立臺灣大學,生物產業傳播暨發展學系,英x1.50 國x1.50 數Ax1.50 地x1.00 歷x1.00,22,303.5,326
60,國立臺灣大學,生物機電工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,18,253,-----
61,國立臺灣大學,昆蟲學系,生x2.00 化x1.50 英x1.00 數甲x1.00 物x1.00,12,285.5,-----
62,國立臺灣大學,植物病理與微生物學系,生x1.00 化x1.00 數甲x1.00 英x1.00 國x1.00,23,240,251.1
63,國立臺灣大學,工商管理學系企業管理組,數乙x1.00 英x1.00 國x1.00 地x1.00 歷x1.00,24,275,282.7
64,國立臺灣大學,工商管理學系科技管理組,數甲x1.00 英x1.00 國x1.00 物x1.00 化x1.00,19,251,-----
65,國立臺灣大學,會計學系A組,數乙x1.50 英x1.50 國x1.00,12,225.5,-----
66,國立臺灣大學,會計學系B組,英x1.50 國x1.25 數乙x1.25 公x1.00 地x1.00,46,325,366.55
67,國立臺灣大學,財務金融學系,國x1.00 英x1.50 數乙x2.00,46,258,272.8
70,國立臺灣大學,國際企業學系A組,英x2.00 數甲x1.00 公x1.00,9,213,-----
71,國立臺灣大學,國際企業學系B組,英x2.00 數乙x1.00 地x1.00 歷x1.00 公x1.00,23,335,381.45
72,國立臺灣大學,資訊管理學系,數甲x1.50 英x1.00 物x1.00 化x1.00,17,240.5,-----
73,國立臺灣大學,公共衛生學系A組,數甲x1.25 英x1.25 化x1.00 生x1.00 物x1.00,11,267,-----
74,國立臺灣大學,公共衛生學系B組,數Ax1.25 英x1.25 公x1.25 國x1.00,6,232,-----
75,國立臺灣大學,電機工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00,47,229,249.75
76,國立臺灣大學,資訊工程學系,數甲x1.25 物x1.00 化x1.00 英x1.00,34,240.5,249.2
77,國立臺灣大學,法律學系法學組,英x1.00 國x1.00 數乙x1.00 公x1.25 歷x1.00,30,287,330.45
,,,,,,
,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
100,國立臺灣大學,法律學系司法組,英x1.00 國x1.00 數乙x1.00 公x1.25 歷x1.00,24,290.5,302.15
101,國立臺灣大學,法律學系財經法學組,英x1.00 國x1.00 數乙x1.00 公x1.25 歷x1.00,27,297,343.75
102,國立臺灣大學,生命科學系,生x1.00 英x1.00 化x1.00 數甲x1.00 物x1.00,15,246,-----
103,國立臺灣大學,生化科技學系,化x1.00 數甲x1.00 物x1.00 生x1.00 英x1.00,15,247,259.2
104,國立臺灣大學,國際體育運動事務學士學位學程,英x2.00 國x1.25 數Bx1.00 公x1.00,2,264,-----
105,國立臺灣師範大學,教育學系,英x1.50 國x1.50 歷x1.00 地x1.00 數Bx1.00,30,268.5,-----
106,國立臺灣師範大學,教育心理與輔導學系,英x1.25 數Bx1.25 國x1.00 公x1.00 歷x1.00,7,279.5,366.8
107,國立臺灣師範大學,社會教育學系,公x1.50 國x1.50 英x1.50 歷x1.00 地x1.00,24,296,344.35
110,國立臺灣師範大學,健康促進與衛生教育學系,英x1.50 生x1.50 數甲x1.00 國x1.00,8,218.5,-----
111,國立臺灣師範大學,幼兒與家庭科學學系家庭生活與教育組,英x2.00 數Bx2.00 國x1.75 公x1.00,8,287.25,-----
112,國立臺灣師範大學,幼兒與家庭科學學系幼兒發展與教育組,英x2.00 國x2.00 數Bx1.75 公x1.00,7,291,-----
113,國立臺灣師範大學,公民教育與活動領導學系,公x2.00 國x1.25 英x1.25 數Bx1.00,37,245.25,-----
114,國立臺灣師範大學,特殊教育學系,國x1.25 英x1.25 公x1.00,19,160,161.45
115,國立臺灣師範大學,學習科學學士學位學程,數甲x2.00 國x1.50 英x1.50,4,223.5,-----
116,國立臺灣師範大學,教育學院學士班,英x1.50 國x1.00 公x1.00,6,164,168
117,國立臺灣師範大學,國文學系,國x2.00 英x1.50 歷x1.00 地x1.00,40,256.5,-----
120,國立臺灣師範大學,英語學系,英x2.00 國x1.50 數Bx1.00 歷x1.00 地x1.00,22,297.5,-----
121,國立臺灣師範大學,歷史學系,歷x1.50 國x1.25 英x1.25 地x1.00 數Bx1.00,35,260.5,-----
122,國立臺灣師範大學,地理學系,地x1.50 英x1.25 歷x1.00 數Bx1.00 國x1.00,23,259.75,-----
123,國立臺灣師範大學,臺灣語文學系,英x1.50 公x1.50 國x1.00 歷x1.50 地x1.00,10,298.5,-----
124,國立臺灣師範大學,數學系,數甲x2.00 英x1.00 物x1.00,37,165,-----
125,國立臺灣師範大學,物理學系,物x1.50 數甲x1.25 英x1.00,10,177.5,-----
126,國立臺灣師範大學,物理學系國際組,物x1.50 數甲x1.25 英x1.25,6,185.5,-----
127,國立臺灣師範大學,化學系,化x1.75 物x1.50 數甲x1.25 英x1.00,35,245,253.45
130,國立臺灣師範大學,生命科學系,生x1.50 化x1.25 英x1.25 數Ax1.00 國x1.00,31,264.5,-----
131,國立臺灣師範大學,地球科學系,數甲x2.00 物x2.00 化x1.50 英x1.00,8,272,-----
132,國立臺灣師範大學,資訊工程學系,數甲x1.50 英x1.50 物x1.00 國x1.00 化x1.00,17,280,-----
133,國立臺灣師範大學,營養科學學士學位學程,化x1.50 生x1.50 英x1.50 數Ax1.00 國x1.00,17,279.5,283.4
134,國立臺灣師範大學,科技應用與人力資源發展學系,數甲x1.25 英x1.25 物x1.00 化x1.00 國x1.00,13,230.25,-----
135,國立臺灣師範大學,圖文傳播學系,英x1.25 國x1.25 數甲x1.00 物x1.00 化x1.00,10,231.25,-----
136,國立臺灣師範大學,機電工程學系,數甲x2.00 物x2.00 英x1.50 化x1.00 國x1.00,16,333.5,-----
137,國立臺灣師範大學,電機工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,9,242,-----
140,國立臺灣師範大學,車輛與能源工程學士學位學程,數甲x1.50 物x1.50 英x1.00 國x1.00,4,217.5,-----
,,,,,,
,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
141,國立臺灣師範大學,光電工程學士學位學程,物x2.00 數甲x2.00 化x1.50 英x1.00 國x1.00,17,339,-----
142,國立臺灣師範大學,華語文教學系應用華語文學組,英x2.00 國x2.00 歷x1.00,12,237,-----
143,國立臺灣師範大學,東亞學系,英x2.00 國x1.50 數Bx1.00 公x1.00 歷x1.00,12,282,-----
144,國立臺灣師範大學,企業管理學系,英x2.00 數乙x1.50 國x1.00,21,220,-----
145,國立臺灣師範大學,設計學系產品設計組,英x2.00 國x2.00 數乙x1.75,9,272.25,-----
146,國立臺灣師範大學,音樂學系,術x2.00 英x1.00 國x1.00 歷x1.00,4,297.64,-----
147,國立臺灣師範大學,表演藝術學士學位學程,國x1.75 歷x1.50 英x1.25,1,222.5,-----
150,國立臺灣師範大學,設計學系視覺設計組,術x2.00 英x1.75 國x1.75 歷x1.00,5,348.7,-----
151,國立臺灣師範大學,美術學系繪畫組,術x1.50 國x1.00 英x1.00 歷x1.00,4,249.83,-----
152,國立臺灣師範大學,美術學系水墨畫組,術x1.50 國x1.00 英x1.00 歷x1.00,5,236.33,-----
153,國立臺灣師範大學,體育與運動科學系,英x2.00 生x1.50 國x1.50 數Bx1.00,5,262.5,-----
154,國立中興大學,中國文學系,國x2.00 英x1.50 歷x1.25,33,208,-----
155,國立中興大學,外國語文學系,英x2.00 國x1.00 歷x1.00,24,189,-----
156,國立中興大學,歷史學系,歷x1.50 國x1.00 英x1.00 地x1.00,24,205,217.8
157,國立中興大學,台灣人文創新學士學位學程,國x2.00 歷x1.50 英x1.00 地x1.50,4,278,-----
160,國立中興大學,財務金融學系,英x2.00 數乙x2.00 國x1.00,32,247,-----
161,國立中興大學,企業管理學系,英x2.00 數乙x2.00 國x1.00 公x1.00,24,277,283.9
162,國立中興大學,資訊管理學系,數甲x2.00 英x2.00 國x1.00,19,225,-----
163,國立中興大學,會計學系,數Ax2.00 英x2.00 國x1.00 公x1.00,10,254,-----
164,國立中興大學,行銷學系,數乙x2.00 英x2.00 國x1.00,20,236,240
165,國立中興大學,應用經濟學系,英x2.00 數甲x1.50 國x1.00,31,196,-----
166,國立中興大學,法律學系,國x1.50 英x1.00 數Bx1.00 公x1.50 歷x1.00,24,287.5,296.5
167,國立中興大學,化學系,化x2.00 數甲x2.00 英x1.50 物x1.00 國x1.00,25,331,-----
170,國立中興大學,物理學系一般物理組,物x1.50 數甲x1.50 英x1.50 化x1.00 國x1.00,14,291,-----
171,國立中興大學,物理學系光電物理組,物x1.50 數甲x1.50 英x1.50 化x1.00 國x1.00,8,296.5,-----
172,國立中興大學,應用數學系應用數學組,數甲x2.00 英x1.50 物x1.50 國x1.00 化x1.00,15,291.5,-----
173,國立中興大學,應用數學系數據科學與計算組,數甲x2.00 英x1.50 物x1.50 國x1.00 化x1.00,15,294.5,-----
174,國立中興大學,機械工程學系甲組,數甲x2.00 物x2.00 英x1.50 化x1.00 國x1.00,45,329,-----
175,國立中興大學,機械工程學系乙組,數Ax2.00 物x2.00 英x1.50 化x1.00 國x1.00,5,348,-----
176,國立中興大學,土木工程學系,數甲x2.00 物x2.00 英x1.50 國x1.00,45,270.5,-----
177,國立中興大學,環境工程學系,化x1.50 數甲x1.50 物x1.50 英x1.00 國x1.00,13,275,-----
200,國立中興大學,化學工程學系,物x1.00 化x1.00 數甲x1.00 英x1.00 國x1.00,31,228,-----
201,國立中興大學,材料科學與工程學系,物x1.00 化x1.00 英x1.00 數甲x1.00 國x1.00,24,235,-----
,,,,,,
,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
202,國立中興大學,智慧創意工程學士學位學程,數甲x1.50 英x1.00 物x1.00 國x1.00 化x1.00,4,243,-----
203,國立中興大學,電機工程學系甲組,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,3,257,-----
204,國立中興大學,電機工程學系乙組,數甲x1.00 物x1.00 英x1.25 化x1.00 國x1.00,14,263,-----
205,國立中興大學,資訊工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00,17,195,-----
206,國立中興大學,電機資訊學院學士班,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,11,244,-----
207,國立中興大學,生物產業機電工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,27,214,-----
210,國立中興大學,水土保持學系,數甲x2.00 物x2.00 英x1.50 國x1.00,39,257,-----
211,國立中興大學,食品暨應用生物科技學系,英x1.50 化x1.50 生x1.50 國x1.00,18,239,-----
212,國立中興大學,農藝學系,英x1.50 生x1.50 化x1.50 國x1.00,21,218,-----
213,國立中興大學,園藝學系,生x2.00 化x1.50 英x1.50 數Bx1.00 國x1.00,17,276.5,-----
214,國立中興大學,森林學系林學組,英x1.50 生x1.50 化x1.00 物x1.00 數Bx1.00,10,224,-----
215,國立中興大學,森林學系木材科學組,英x1.50 化x1.50 物x1.25 生x1.00 數Bx1.00,9,224.75,-----
216,國立中興大學,植物病理學系,生x1.50 化x1.50 英x1.50 國x1.00 數Ax1.00,28,264,-----
217,國立中興大學,昆蟲學系,生x1.50 化x1.50 英x1.50 國x1.00,20,219,-----
220,國立中興大學,動物科學系,生x1.50 化x1.50 英x1.50 數Ax1.00 國x1.00,17,282,-----
221,國立中興大學,土壤環境科學系,英x2.00 化x2.00 生x2.00 物x1.00,20,259,-----
222,國立中興大學,生物科技學士學位學程,英x1.50 化x1.50 生x1.50 國x1.00,8,249,-----
223,國立中興大學,景觀與遊憩學士學位學程,英x1.50 國x1.00 物x1.00,5,151.5,-----
224,國立中興大學,國際農企業學士學位學程,英x2.00 生x1.50 國x1.00,7,188,-----
225,國立中興大學,生命科學系,生x1.75 化x1.75 英x1.00,28,200.5,-----
226,國立中興大學,獸醫學系,英x1.50 化x1.25 生x1.50,29,226.5,254.05
227,國立成功大學,中國文學系,國x1.50 英x1.00 歷x1.00,37,162,166.95
230,國立成功大學,外國語文學系,英x2.00 國x1.50 歷x1.00 地x1.00 數Bx1.00,39,295,-----
231,國立成功大學,歷史學系,歷x1.50 國x1.25 地x1.25 英x1.00 數Bx1.00,34,267.75,-----
232,國立成功大學,台灣文學系,國x1.50 英x1.50 歷x1.00 數Bx1.00 地x1.00,25,253.5,-----
233,國立成功大學,數學系,數甲x2.00 物x1.50 英x1.50 化x1.00,23,275,-----
234,國立成功大學,物理學系,物x1.00 數甲x1.00 英x1.00 化x1.00,21,200,-----
235,國立成功大學,化學系,化x1.50 物x1.25 數甲x1.25 英x1.00 國x1.00,31,286.5,-----
236,國立成功大學,地球科學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,16,221,-----
237,國立成功大學,光電科學與工程學系,物x1.00 數甲x1.00 英x1.00 化x1.00 國x1.00,35,245,-----
240,國立成功大學,機械工程學系,數甲x2.00 物x2.00 英x1.00,67,241,-----
241,國立成功大學,機械工程學系(普渡雙聯組),數甲x1.00 物x1.00 英x1.00,1,158,-----
242,國立成功大學,化學工程學系,數甲x1.25 化x1.25 物x1.25 英x1.00 國x1.00,88,276.5,-----
,,,,,,
,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
243,國立成功大學,材料科學及工程學系,物x1.50 化x1.50 數甲x1.00,45,202,-----
244,國立成功大學,資源工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,28,228,228.15
245,國立成功大學,土木工程學系,數Ax1.00 物x1.00 英x1.00 國x1.00,65,183,190.35
246,國立成功大學,水利及海洋工程學系,數甲x1.75 物x1.50 英x1.25 國x1.00,29,245.25,-----
247,國立成功大學,工程科學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,21,248,-----
250,國立成功大學,系統及船舶機電工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,23,235,-----
251,國立成功大學,航空太空工程學系,數甲x1.00 物x1.00 英x1.00 國x1.00,32,193,199.8
252,國立成功大學,環境工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,33,224,-----
253,國立成功大學,測量及空間資訊學系,數甲x2.00 物x2.00 英x2.00 國x1.00,26,313,-----
254,國立成功大學,生物醫學工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,23,239,-----
255,國立成功大學,工業與資訊管理學系,數Ax1.00 數甲x1.00 英x1.00 物x1.00 化x1.00,23,231,-----
256,國立成功大學,交通管理科學系,數甲x1.25 英x1.25 國x1.00 物x1.00,31,199.75,-----
257,國立成功大學,統計學系,數甲x1.50 英x1.50 國x1.00,27,189.5,-----
260,國立成功大學,會計學系,英x2.00 數乙x2.00 國x1.00,26,256,265.55
261,國立成功大學,企業管理學系,英x2.00 數乙x2.00 國x1.00 公x1.00,33,297,299.85
262,國立成功大學,醫學系(自費),數甲x1.00 生x1.00 化x1.00 物x1.00 英x1.00,22,279,-----
263,國立成功大學,醫學系(公費),數甲x1.00 生x1.00 物x1.00 化x1.00 英x1.00,9,265,-----
264,國立成功大學,牙醫學系,數甲x1.00 英x1.00 生x1.00 化x1.00 物x1.00,12,274,-----
265,國立成功大學,醫學檢驗生物技術學系,英x1.25 化x1.25 生x1.25 數甲x1.00 國x1.00,25,272.75,-----
266,國立成功大學,護理學系,生x1.50 英x1.50 化x1.00 國x1.00,22,238,267.25
267,國立成功大學,物理治療學系,英x1.25 生x1.00 數甲x1.00 物x1.00 國x1.00,24,260,260.55
270,國立成功大學,職能治療學系,英x1.00 生x1.00 數Ax1.00 國x1.00,12,200,-----
271,國立成功大學,藥學系,化x1.25 生x1.00 國x1.00 英x1.00 數甲x1.00,13,276.5,280.55
272,國立成功大學,政治學系,英x1.25 國x1.25 公x1.00 歷x1.00,38,214,215.1
273,國立成功大學,經濟學系,數乙x2.00 英x2.00 國x1.50,33,280.5,-----
274,國立成功大學,法律學系,公x1.50 國x1.50 英x1.00 歷x1.00 數Bx1.00,40,295,299.6
275,國立成功大學,心理學系,英x1.50 數甲x1.50 生x1.00 化x1.00 國x1.00,42,280.5,290.5
276,國立成功大學,電機工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00,46,214,234.3
277,國立成功大學,電機工程學系(普渡雙聯組),數甲x1.00 物x1.00 英x1.00 化x1.00,1,225,-----
300,國立成功大學,資訊工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,58,257,-----
301,國立成功大學,資訊工程學系(普渡雙聯組),數甲x1.00 英x1.00 物x1.00 化x1.00 國x1.00,1,264,-----
302,國立成功大學,建築學系,數甲x1.25 物x1.25 英x1.00 化x1.00,17,211.25,-----
303,國立成功大學,都市計劃學系(自然組),數Ax1.50 英x1.50 國x1.50 物x1.00 化x1.00,13,291,-----
,,,,,,
,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
304,國立成功大學,都市計劃學系(社會組),數Ax1.50 英x1.50 國x1.50 地x1.00 歷x1.00,8,291.5,-----
305,國立成功大學,工業設計學系,英x1.50 物x1.50 數甲x1.00 國x1.00 化x1.00,21,272,-----
306,國立成功大學,生命科學系,生x1.50 化x1.50 英x1.25 數甲x1.00 物x1.00,28,278,-----
